Pagaminimo data,Rida,Kuro tipas,Kėbulo tipas,Durų skaičius,Pavarų dėžė,Vairo padėtis,"CO₂ emisija, g/km"
2009,180 000 km,Benzinas,Sedanas,4/5,Automatinė,Kairėje,~ 278 g/km
2014,240 000 km,Dyzelinas,Visureigis,4/5,Automatinė,Kairėje,"9,9"
2012-10,169 000 km,Dyzelinas,Hečbekas,4/5,Automatinė,Kairėje,
2014-12,162 990 km,Dyzelinas,Universalas,4/5,Automatinė,Kairėje,"7,1"
2012-12,111 560 km,Benzinas / elektra,Sedanas,4/5,Automatinė,Kairėje,"6,5"
2015-07,188 000 km,Dyzelinas,Universalas,4/5,Automatinė,Kairėje,"4,4"
2012-10,225 000 km,Dyzelinas,Visureigis,4/5,Automatinė,Kairėje,"7,8"
2012-10,189 000 km,Dyzelinas,Visureigis,4/5,Automatinė,Kairėje,"5,8"
2010-07,265 000 km,Dyzelinas,Sedanas,4/5,Automatinė,Kairėje,"5,9"
2004-08,377 230 km,Dyzelinas,Hečbekas,4/5,Mechaninė,Kairėje,
2011-10,247 000 km,Dyzelinas,Visureigis,4/5,Automatinė,Kairėje,"6,8"
1989-08,234 567 km,Benzinas / dujos,Sedanas,4/5,Mechaninė,Kairėje,
2013-08,316 000 km,Dyzelinas,Hečbekas,4/5,Automatinė,Kairėje,"5,3"
2011-10,248 000 km,Dyzelinas,Hečbekas,4/5,Automatinė,Kairėje,"5,8"
2008-06,324 085 km,Dyzelinas,Vienatūris,4/5,Mechaninė,Kairėje,~ 182 g/km
306 000 km,"1995 cm³, 184 AG (135kW)",Universalas,4/5,Galiniai,Klimato kontrolė,2022-04,"5,3"
1996-08,471 000 km,Benzinas,Sedanas,4/5,Automatinė,Kairėje,
244 000 km,"1700 cm³, 110 AG (81kW)",Universalas,4/5,Priekiniai,Klimato kontrolė,R16,
2014-07,99 016 km,Benzinas,Sedanas,4/5,Automatinė,Kairėje,
2016,166 500 km,Dyzelinas,Visureigis,4/5,Automatinė,Kairėje,"4,3"
2013-11,111 018 km,Dyzelinas,Hečbekas,4/5,Automatinė,Kairėje,~ 109 g/km
2004-07,398 000 km,Dyzelinas,Keleiviniai mikroautobusai,4/5,Automatinė,Kairėje,
2015,220 000 km,Dyzelinas,Hečbekas,4/5,Automatinė,Kairėje,168 g/km
263 500 km,"1998 cm³, 136 AG (100kW)",Kupė (Coupe),2/3,Priekiniai,Klimato kontrolė,R16,"7,6"
2011-03,285 000 km,Dyzelinas,Universalas,4/5,Mechaninė,Kairėje,~ 150 g/km
2013-06,225 231 km,Dyzelinas,Universalas,4/5,Mechaninė,Kairėje,~ 145 g/km
